Country,Code,Year,Value
Afghanistan,AFG,1960,537777811.91
Afghanistan,AFG,1961,548888894.58
Afghanistan,AFG,1962,546666678.04
Afghanistan,AFG,1963,751111190.76
Afghanistan,AFG,1964,800000045.51
Afghanistan,AFG,1965,1006666638.22
Afghanistan,AFG,1966,1399999965.87
Afghanistan,AFG,1967,1673333418.67
Afghanistan,AFG,1968,1373333367.47
Afghanistan,AFG,1969,1408888923.02
Afghanistan,AFG,1970,1748886596.27
Afghanistan,AFG,1971,1831108972.09
Afghanistan,AFG,1972,1595555475.91
Afghanistan,AFG,1973,1733333265.07
Afghanistan,AFG,1974,2155555498.67
Afghanistan,AFG,1975,2366666615.47
Afghanistan,AFG,1976,2555555566.93
Afghanistan,AFG,1977,2953333418.67
Afghanistan,AFG,1978,3300000108.09
Afghanistan,AFG,1979,3697940345.14
Afghanistan,AFG,1980,3641723447.18
Afghanistan,AFG,1981,3478787909.82
Afghanistan,AFG,2001,2461666314.78
Afghanistan,AFG,2002,4128818042.26
Afghanistan,AFG,2003,4583648921.64
Afghanistan,AFG,2004,5285461999.34
Afghanistan,AFG,2005,6275076016.47
Afghanistan,AFG,2006,7057598406.62
Afghanistan,AFG,2007,9843842455.48
Afghanistan,AFG,2008,10190529882.49
Afghanistan,AFG,2009,12486943505.74
Afghanistan,AFG,2010,15936800636.25
Afghanistan,AFG,2011,17930239399.81
Afghanistan,AFG,2012,20536542736.73
Afghanistan,AFG,2013,20310881086.98
Afghanistan,AFG,2014,20841951232.00
Albania,ALB,1984,1924242453.01
Albania,ALB,1985,1965384586.24
Albania,ALB,1986,2173750012.50
Albania,ALB,1987,2156624900.00
Albania,ALB,1988,2126000000.00
Albania,ALB,1989,2335124987.50
Albania,ALB,1990,2101624962.50
Albania,ALB,1991,1139166676.01
Albania,ALB,1992,709452572.34
Albania,ALB,1993,1228071037.84
Albania,ALB,1994,1985673026.02
Albania,ALB,1995,2424498953.27
Albania,ALB,1996,3013217853.03
Albania,ALB,1997,2196223713.70
Albania,ALB,1998,2727745453.16
Albania,ALB,1999,3434402453.29
Albania,ALB,2000,3686649386.84
Albania,ALB,2001,4091020249.20
Albania,ALB,2002,4449373455.28
Albania,ALB,2003,5652325081.83
Albania,ALB,2004,7464446950.18
Albania,ALB,2005,8376668351.84
Albania,ALB,2006,9132558096.87
Albania,ALB,2007,10701011524.10
Albania,ALB,2008,12881353507.85
Albania,ALB,2009,12044208085.86
Albania,ALB,2010,11926957254.63
Albania,ALB,2011,12890866742.65
Albania,ALB,2012,12344529628.06
Albania,ALB,2013,12916669735.69
Albania,ALB,2014,13370191506.00
Algeria,DZA,1960,2723637620.40
Algeria,DZA,1961,2434766866.27
Algeria,DZA,1962,2001460838.78
Algeria,DZA,1963,2703004009.92
Algeria,DZA,1964,2909340114.72
Algeria,DZA,1965,3136284385.15
Algeria,DZA,1966,3039859268.25
Algeria,DZA,1967,3370870461.14
Algeria,DZA,1968,3852147112.85
Algeria,DZA,1969,4257253358.44
Algeria,DZA,1970,4863487557.23
Algeria,DZA,1971,5077222330.07
Algeria,DZA,1972,6761786483.71
Algeria,DZA,1973,8715106128.63
Algeria,DZA,1974,13209713770.09
Algeria,DZA,1975,15557934472.87
